datafile,description
DO234435.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=INVDUP;PLAG1 mut;KRAS amp;MUTYH germline pathogenic;CDKN2A homdel
0124.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;PTPRK mut;EGFR amp;NF1 trunc;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
0125.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;EGFR mut;FLT3 mut;RARA mut;EGFR amp;PTCH1 trunc;CDKN2A homdel
0128.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;IDH1 mut;CDK4 amp;TP53 trunc
0145.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;MED12 mut;SS18 mut;CDK4 amp;EGFR amp;CDKN2A homdel
0152.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;BRD4 amp;CCNE1 amp;CDK4 amp;EGFR amp;MAP2K2 amp;MDM2 amp
0155.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=SPARSE;EGFR mut;EGFR amp;KDR amp;KIT amp;PDGFRA amp;PTEN hetdel & mis;CDKN2A homdel
0171.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;PIK3CA mut;PTPN11 mut;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
0185.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=INVDUP;EGFR mut;MYH11 mut;EGFR amp;NBN germline pathogenic;CDKN2A homdel
0190.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;AKT2 amp;BRAF amp;BRD4 amp;CDK6 amp;EGFR amp;MET amp;ERCC4 germline pathogenic;PTEN hetdel & mis
0208.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;EGFR amp;CDKN2A homdel
0210.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=BRC;PIK3CA mut;KIT amp;MDM4 amp;PDGFRA amp;NF1 trunc;CDKN2A homdel
0211.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;EGFR amp;KIT amp;PDGFRA amp;MAP3K1 germline pathogenic;CDKN2A homdel
0214.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;PAX5 mut;PDGFRA mut;EGFR amp;MDM2 amp;PDGFRA amp;AMER1 homdel;ATRX homdel;CDKN2A homdel;KDM6A homdel;PTEN homdel
0221.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=RT;IDH1 mut;RSPO3 mut;CCND2 amp;CDK4 amp;CDK6 amp;KDR amp;KIT amp;PDGFRA amp;ATRX trunc;TP53 trunc;FANCC germline pathogenic
DO234457.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=CHROMOTHRIPSIS;TCF7L2 mut;BRAF amp;BRD3 amp;EGFR amp;JAK2 amp;MYC amp;NOTCH1 amp;RET amp;TERT amp;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234351.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=DM;CCNE1 amp;CDK6 amp;EGFR amp;FGFR2 amp;MYC amp;PIK3CA amp;SOX2 amp;TERT amp;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;FAS homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;PTEN homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234295.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BFB;MAML2 mut;MET amp;AMER1 homdel;ARID2 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;NCOR1 homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234348.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=PYRGO;MLLT10 mut;CDK6 amp;KRAS amp;MYC amp;NTRK1 amp;RB1 trunc;CDKN2A hetdel & mis;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234170.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;MAP2K1 mut;MYCN mut;USP6 mut;EGFR amp;ERBB2 amp;MYC amp;TP53 hetdel & mis;BCOR homdel;KDM5C homdel;KDM6A homdel;WAS homdel;ZRSR2 homdel
DO50451.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=BR;KRAS mut;PIK3CA mut;JUN amp;MYCL amp;NOTCH1 amp;NOTCH2 amp;NRAS amp;RNF43 trunc;SMAD4 trunc;TP53 hetdel & mis
DO234389.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=RT;JAK2 mut;NRG1 mut;NSD1 mut;PRDM16 mut;PRKAR1A mut;ATR trunc;FBXW7 trunc;HNF1A trunc;PTCH1 trunc;RNF43 trunc;PTCH1 hetdel & mis;CDKN2A homdel
DO234326.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRD;TERT mut;ALK amp;CCND3 amp;CDK6 amp;EGFR amp;FGFR1 amp;FGFR2 amp;KRAS amp;MDM2 amp;MYC amp;MYCL amp;MYCN amp;NKX2-1 amp;NOTCH2 amp;NRAS amp;PIK3CA amp;TERT amp;BRCA2 trunc;BRCA2 germline pathogenic;TP53 germline pathogenic;KMT2D hetdel & mis;AMER1 homdel;APC homdel;ARID1B homdel;ATRX homdel;BCOR homdel;FANCG homdel;KDM5C homdel;KDM6A homdel;MAP2K4 homdel;NCOR1 homdel;PHF6 homdel;STAG2 homdel;TP53 homdel;WAS homdel;ZRSR2 homdel
DO234326.2.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRD;ETV6 mut;FLT3 mut;KAT6A mut;NRG1 mut;AKT2 amp;CCND3 amp;CDK6 amp;EGFR amp;TERT amp;BRCA2 trunc;BRCA2 germline pathogenic;TP53 germline pathogenic;AMER1 homdel
DO10843.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=RT;BRAF amp;CDK6 amp;EGFR amp;MET amp;NTRK3 amp;ARID1A trunc;MEN1 trunc;PBRM1 trunc;SMAD4 germline pathogenic;TP53 germline pathogenic;SMAD4 hetdel & mis;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
0648.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;MLLT6 mut;PLCG1 mut;MDM2 amp;CDKN2A homdel;PTEN homdel
DO234367.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=DM;SS18 mut;TERT amp;MUTYH germline pathogenic;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;MAP2K4 homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234248.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=TRANSLOCATION;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
